,lodging,clothing_store,cafe,restaurant,school,health,meal_delivery,point_of_interest,subway_station,electronics_store,home_goods_store,bar,police,convenience_store,store,synagogue,furniture_store,food,sublocality_level_1,florist,bicycle_store,locality,hardware_store,night_club,park,grocery_or_supermarket,general_contractor,pharmacy,church,jewelry_store,bakery,meal_takeaway,pet_store,shoe_store,post_office,book_store,neighborhood,art_gallery,finance,gym,lawyer,doctor,insurance_agency,real_estate_agency,accounting,car_dealer,physiotherapist,travel_agency,liquor_store,parking,bus_station,atm,hospital,spa,movie_theater,library,museum,moving_company,cemetery,storage,local_government_office,car_repair,transit_station,courthouse,gas_station,dentist,department_store,car_rental,hindu_temple,funeral_home,painter,car_wash,bank,mosque,locksmith,university,hair_care,beauty_salon,shopping_mall,place_of_worship,roofing_contractor,plumber,laundry,veterinary_care,electrician,amusement_park,stadium,movie_rental,campground,bowling_alley,premise,natural_feature,zoo,aquarium,light_rail_station,rv_park,embassy,city_hall,airport,fire_station,casino
276,,2.0,,18.0,6.0,1.0,,3.0,,,1.0,3.0,,,2.0,,1.0,2.0,1.0,,,1.0,2.0,,1.0,3.0,,3.0,2.0,,1.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,1.0,,14.0,3.0,,,5.0,1.0,1.0,2.0,2.0,,,6.0,,1.0,1.0,1.0,,,1.0,1.0,,,3.0,,4.0,1.0,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,1.0,1.0,13.0,2.0,,4.0,2.0,1.0,1.0,,1.0,,,8.0,,1.0,1.0,1.0,,,1.0,,,,,3.0,2.0,,1.0,1.0,2.0,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,1.0,4.0,,18.0,1.0,,,1.0,1.0,,,4.0,,,4.0,,,4.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,3.0,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,3.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
524,1.0,2.0,,2.0,,2.0,,8.0,,,,,,,8.0,,,1.0,1.0,,,1.0,1.0,,,2.0,,2.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
525,,,1.0,7.0,,1.0,,7.0,,,,1.0,,2.0,7.0,,1.0,1.0,1.0,2.0,,1.0,,,,,2.0,,,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,,,,,,,,8.0,,,1.0,,,,2.0,,,1.0,1.0,3.0,,1.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,,1.0,,,,,,6.0,,1.0,,1.0,,,7.0,,5.0,1.0,1.0,,,1.0,1.0,,,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,2.0,1.0,2.0,11.0,,1.0,1.0,4.0,,,3.0,9.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,1.0,,,1.0,,,,5.0,,2.0,3.0,1.0,1.0,,6.0,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,3.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,2.0,,,1.0,,,,4.0,,1.0,,1.0,1.0,,7.0,,,1.0,1.0,,,1.0,3.0,,,1.0,5.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,3.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,2.0,1.0,,3.0,,1.0,,3.0,,,,1.0,,,11.0,,,2.0,1.0,,,1.0,1.0,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,1.0,1.0,3.0,12.0,,,1.0,2.0,2.0,3.0,,19.0,,,2.0,,1.0,,1.0,,,1.0,,1.0,,,,2.0,,1.0,1.0,,1.0,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
528,,,,5.0,1.0,,,5.0,,1.0,1.0,5.0,,1.0,5.0,,1.0,1.0,1.0,,,1.0,,,,3.0,5.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
529,,,1.0,5.0,1.0,1.0,,4.0,,3.0,,4.0,,,4.0,,,1.0,1.0,1.0,,1.0,,,,2.0,3.0,,1.0,,,,,,,,,,,1.0,,1.0,1.0,2.0,,3.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
449,17.0,1.0,3.0,6.0,,1.0,,4.0,1.0,,1.0,16.0,,,8.0,,,1.0,,,,1.0,,2.0,,,1.0,,,1.0,1.0,2.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
448,2.0,,1.0,2.0,,1.0,,8.0,,,,4.0,,1.0,6.0,,1.0,1.0,,1.0,,1.0,,,,,,2.0,,,1.0,,,,,,1.0,,4.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,,,,15.0,,5.0,,,1.0,2.0,,3.0,,,7.0,,2.0,,1.0,,,1.0,,,,2.0,,2.0,1.0,,2.0,1.0,,,,,,,,,,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
442,,4.0,,13.0,1.0,5.0,,,2.0,1.0,,16.0,,,3.0,,,,1.0,,,1.0,,,,1.0,,2.0,,1.0,,2.0,1.0,2.0,,,,,1.0,,,4.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
441,,6.0,1.0,9.0,1.0,7.0,,1.0,1.0,2.0,,15.0,,,2.0,,,,1.0,,,1.0,,1.0,,,,,,,1.0,3.0,1.0,1.0,,1.0,,,1.0,1.0,,3.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
440,,9.0,1.0,8.0,,4.0,,4.0,1.0,1.0,,15.0,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,,,,,1.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,6.0,6.0,,10.0,,1.0,,1.0,,2.0,1.0,6.0,,1.0,2.0,,,,,,,1.0,,1.0,,,,,,2.0,1.0,3.0,,1.0,,,1.0,,,1.0,,,1.0,2.0,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
446,4.0,6.0,1.0,11.0,1.0,1.0,,,,3.0,1.0,6.0,,1.0,2.0,,,,,,,1.0,,2.0,,1.0,,,,2.0,1.0,2.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
445,,1.0,,8.0,2.0,2.0,1.0,2.0,,,3.0,,,1.0,4.0,,2.0,,1.0,,,1.0,,,,,,2.0,,,1.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
444,,,,,2.0,1.0,,7.0,,,3.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
108,,,1.0,,,,,6.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,3.0,2.0,2.0,10.0,1.0,2.0,2.0,2.0,1.0,1.0,,12.0,,,5.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,3.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
102,,2.0,,13.0,3.0,2.0,1.0,2.0,,,,,,,3.0,,2.0,1.0,1.0,,,1.0,,,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
103,,1.0,,17.0,,4.0,1.0,,,1.0,1.0,1.0,,,1.0,,2.0,,1.0,,,1.0,,,,2.0,,3.0,,1.0,3.0,1.0,,,,,,,,,,17.0,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1.0,,,17.0,2.0,,1.0,2.0,,2.0,,3.0,,1.0,3.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,2.0,,,2.0,,,,,1.0,,,2.0,,,,2.0,,,,,,,,,,,,,,1.0,,2.0,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
101,,1.0,,19.0,,1.0,,2.0,,,,1.0,,,7.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,4.0,1.0,,,2.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,1.0,,9.0,,,,,,,3.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,1.0,1.0,2.0,,,,11.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
104,,1.0,,10.0,1.0,4.0,,,,1.0,,1.0,,,4.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,3.0,1.0,,,,,,,,,,15.0,,,,,,,,,,,3.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2.0,3.0,,12.0,1.0,2.0,3.0,2.0,,3.0,,,,,2.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,2.0,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
902,9.0,1.0,2.0,11.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,11.0,,,4.0,,,1.0,,,,1.0,1.0,2.0,,2.0,,2.0,,,2.0,1.0,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,11.0,1.0,3.0,15.0,1.0,,2.0,3.0,2.0,3.0,,6.0,,1.0,2.0,,,1.0,,,,1.0,,2.0,1.0,2.0,,2.0,,2.0,2.0,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
39,5.0,1.0,2.0,13.0,,1.0,1.0,,1.0,,,1.0,,,5.0,,,,1.0,1.0,,1.0,1.0,,,1.0,,4.0,1.0,,2.0,,,,1.0,,,,,,,10.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10.0,,1.0,13.0,,,2.0,,1.0,2.0,1.0,1.0,,,2.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,,2.0,1.0,4.0,,,3.0,,,,1.0,,,,,,,8.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,,2.0,1.0,12.0,,1.0,,1.0,1.0,3.0,1.0,5.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,,,,5.0,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
907,,2.0,1.0,11.0,4.0,1.0,1.0,,1.0,2.0,,9.0,,,2.0,,1.0,,,,,1.0,1.0,3.0,,,1.0,6.0,,,2.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,3.0,,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
904,7.0,4.0,1.0,16.0,3.0,,2.0,5.0,2.0,2.0,,4.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
905,2.0,3.0,1.0,16.0,3.0,,2.0,3.0,1.0,1.0,,2.0,,,3.0,,,,,,,1.0,2.0,,,,,6.0,,,,1.0,,,,,1.0,,,,,,,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
33,,,2.0,13.0,2.0,1.0,2.0,1.0,1.0,,1.0,13.0,,,1.0,,,,1.0,1.0,,1.0,,,,3.0,,3.0,,1.0,2.0,,,,1.0,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
32,,2.0,,4.0,2.0,2.0,,5.0,,,,1.0,,,2.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,3.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,
31,,1.0,1.0,15.0,,,,1.0,2.0,2.0,,1.0,,1.0,3.0,,,,1.0,,,1.0,1.0,,,,,2.0,,,4.0,,,4.0,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,1.0,,,6.0,2.0,,2.0,,1.0,1.0,,,1.0,9.0,,,,1.0,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
37,3.0,1.0,,17.0,4.0,,1.0,2.0,,3.0,1.0,3.0,,,3.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
36,,2.0,1.0,19.0,,1.0,,4.0,1.0,1.0,,2.0,,,3.0,1.0,3.0,1.0,1.0,,,1.0,1.0,,,,4.0,2.0,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,,1.0,17.0,,2.0,,1.0,1.0,1.0,,5.0,,,2.0,,2.0,1.0,1.0,,,1.0,1.0,2.0,,1.0,,3.0,1.0,,2.0,,,,,,,,,,,11.0,,,,5.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,17.0,2.0,,1.0,2.0,1.0,,1.0,5.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,3.0,,,,1.0,,,,,,,1.0,1.0,,,5.0,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
641,3.0,1.0,1.0,15.0,3.0,3.0,1.0,,2.0,1.0,,11.0,,,4.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,,4.0,1.0,,,,,,,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
640,2.0,2.0,1.0,18.0,3.0,2.0,1.0,2.0,1.0,2.0,,16.0,,,4.0,,,,1.0,1.0,,1.0,,3.0,,,,1.0,,,1.0,,,5.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
643,1.0,6.0,,16.0,2.0,1.0,,1.0,1.0,3.0,1.0,4.0,,,1.0,,,1.0,1.0,2.0,,1.0,,1.0,,,,2.0,,1.0,3.0,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,3.0,5.0,,15.0,,3.0,1.0,3.0,2.0,3.0,1.0,5.0,,,1.0,,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,2.0,1.0,,1.0,,,,,,,,4.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,,1.0,1.0,17.0,1.0,1.0,2.0,2.0,2.0,,1.0,4.0,,1.0,4.0,,,,1.0,,,1.0,1.0,,1.0,2.0,1.0,2.0,,,2.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,,1.0,1.0,15.0,2.0,2.0,3.0,2.0,2.0,,,4.0,,1.0,5.0,,,1.0,1.0,,,1.0,,1.0,1.0,2.0,,2.0,,1.0,2.0,2.0,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,,2.0,,17.0,1.0,,,1.0,,,3.0,3.0,,,2.0,,1.0,2.0,1.0,2.0,,1.0,1.0,,,,3.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,,,,6.0,2.0,1.0,,,,1.0,4.0,1.0,,1.0,4.0,,,5.0,1.0,,,1.0,,,,,,2.0,,,3.0,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
436,,4.0,3.0,12.0,,,1.0,8.0,,1.0,,8.0,,,8.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,2.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
437,,2.0,,2.0,,,,10.0,,2.0,1.0,2.0,,,9.0,,2.0,1.0,1.0,,,1.0,,,1.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
434,6.0,6.0,2.0,9.0,,1.0,2.0,1.0,,,,15.0,,,5.0,,,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
435,2.0,4.0,2.0,11.0,,3.0,2.0,4.0,,,1.0,14.0,,,1.0,,,,1.0,,1.0,1.0,,1.0,,2.0,,,,,2.0,2.0,2.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
432,6.0,6.0,4.0,8.0,,,,,1.0,,1.0,15.0,,,2.0,,,2.0,1.0,,,1.0,,2.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
433,6.0,4.0,5.0,8.0,,,,,1.0,,,17.0,,,3.0,,,,1.0,,,1.0,,1.0,,,,,,,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
430,1.0,1.0,1.0,6.0,5.0,,,9.0,,2.0,2.0,1.0,,,1.0,,,2.0,,,3.0,1.0,,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,1.0,1.0,3.0,,,1.0,,12.0,,,2.0,1.0,,,5.0,,,,,,,1.0,,,2.0,,1.0,,,1.0,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,3.0,2.0,7.0,,,1.0,8.0,,2.0,,5.0,,,4.0,,1.0,1.0,,,1.0,1.0,,,2.0,,,,,1.0,4.0,4.0,,1.0,,,1.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,6.0,4.0,2.0,12.0,1.0,,,3.0,,,,13.0,,,8.0,,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,2.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,12.0,2.0,1.0,10.0,,3.0,,5.0,8.0,2.0,,15.0,,,3.0,,1.0,1.0,,,,1.0,,,2.0,,,,,3.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2.0,,,15.0,,,,,2.0,,,5.0,1.0,,3.0,,3.0,,,,,1.0,,,,1.0,1.0,1.0,,,3.0,1.0,,1.0,,,1.0,,1.0,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,1.0,3.0,7.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,19.0,2.0,1.0,7.0,,3.0,1.0,3.0,1.0,1.0,,17.0,,2.0,4.0,,,2.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,2.0,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,18.0,1.0,1.0,8.0,,3.0,,3.0,9.0,1.0,,16.0,,1.0,4.0,,,2.0,,,,1.0,,,1.0,,,,,3.0,,1.0,,1.0,,1.0,1.0,,2.0,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1.0,,,15.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,,1.0,,1.0,1.0,3.0,,1.0,,4.0,,,1.0,,,,,,1.0,,,1.0,,13.0,,,1.0,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1.0,1.0,,14.0,,1.0,,2.0,1.0,,2.0,9.0,1.0,,4.0,,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,5.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
333,4.0,,,13.0,1.0,1.0,,1.0,1.0,1.0,,5.0,1.0,,6.0,,2.0,1.0,,,,1.0,,1.0,,2.0,,1.0,1.0,,5.0,1.0,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,5.0,,,15.0,1.0,2.0,1.0,,1.0,1.0,,2.0,,1.0,4.0,,,2.0,,,,1.0,,3.0,,,,4.0,,,3.0,1.0,,,,,1.0,,,1.0,,6.0,,,,3.0,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,1.0,1.0,2.0,13.0,1.0,,3.0,,1.0,1.0,1.0,19.0,,,3.0,,,1.0,1.0,,,1.0,,,,2.0,,2.0,,,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
752,5.0,9.0,3.0,9.0,,1.0,1.0,1.0,1.0,,,13.0,,,1.0,,,,1.0,,,1.0,,3.0,,,,,,1.0,2.0,3.0,,2.0,,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
