block_id,latitude,longitude,count
214,40.68,-73.985,98
215,40.68,-73.98,1191
216,40.68,-73.975,7741
217,40.68,-73.97,814
218,40.68,-73.965,854
219,40.68,-73.96,734
220,40.68,-73.955,436
221,40.68,-73.95,495
222,40.68,-73.945,329
223,40.68,-73.94,284
224,40.68,-73.935,139
225,40.68,-73.93,75
226,40.68,-73.925,103
227,40.68,-73.92,72
228,40.68,-73.915,57
229,40.68,-73.91,80
230,40.68,-73.905,82
231,40.68,-73.805,331
232,40.68,-73.8,198
233,40.685,-74.18,220
234,40.685,-74,215
235,40.685,-73.995,2682
236,40.685,-73.99,4413
237,40.685,-73.985,2975
238,40.685,-73.98,4304
239,40.685,-73.975,2539
240,40.685,-73.97,1804
241,40.685,-73.965,1389
242,40.685,-73.96,284
243,40.685,-73.955,688
244,40.685,-73.95,884
245,40.685,-73.945,114
246,40.685,-73.94,149
247,40.685,-73.935,178
248,40.685,-73.93,117
249,40.685,-73.925,83
250,40.685,-73.92,134
251,40.685,-73.915,177
252,40.685,-73.91,57
253,40.685,-73.905,49
254,40.685,-73.845,27
255,40.685,-73.82,34
256,40.685,-73.805,379
257,40.69,-74.175,273
258,40.69,-74,26
259,40.69,-73.995,2173
260,40.69,-73.99,6178
261,40.69,-73.985,5262
262,40.69,-73.98,6421
263,40.69,-73.975,459
264,40.69,-73.97,676
265,40.69,-73.965,1144
266,40.69,-73.96,706
267,40.69,-73.955,940
268,40.69,-73.95,288
269,40.69,-73.945,209
270,40.69,-73.94,191
271,40.69,-73.935,222
272,40.69,-73.93,287
273,40.69,-73.925,318
274,40.69,-73.92,194
275,40.69,-73.915,47
276,40.69,-73.91,40
277,40.69,-73.905,50
278,40.69,-73.85,87
279,40.69,-73.825,61
280,40.69,-73.815,27
281,40.69,-73.81,296
282,40.69,-73.805,150
283,40.695,-74.175,300
284,40.695,-74.01,30
285,40.695,-73.995,780
286,40.695,-73.99,3641
287,40.695,-73.985,1954
288,40.695,-73.98,2484
289,40.695,-73.975,132
290,40.695,-73.97,228
291,40.695,-73.965,267
292,40.695,-73.96,136
293,40.695,-73.955,441
294,40.695,-73.95,146
295,40.695,-73.945,293
296,40.695,-73.94,163
297,40.695,-73.935,856
298,40.695,-73.93,913
299,40.695,-73.925,446
300,40.695,-73.92,156
301,40.695,-73.915,185
302,40.695,-73.91,254
303,40.695,-73.905,82
304,40.695,-73.825,93
305,40.695,-73.815,70
306,40.695,-73.81,370
307,40.7,-74.015,5113
308,40.7,-74.01,36848
309,40.7,-74.005,21520
310,40.7,-74,67
311,40.7,-73.995,33
312,40.7,-73.99,2003
313,40.7,-73.985,3306
314,40.7,-73.98,168
315,40.7,-73.96,146
316,40.7,-73.955,223
317,40.7,-73.95,46
318,40.7,-73.945,279
319,40.7,-73.94,721
320,40.7,-73.935,222
321,40.7,-73.93,485
322,40.7,-73.925,452
323,40.7,-73.92,173
324,40.7,-73.915,177
325,40.7,-73.91,72
326,40.7,-73.905,42
327,40.7,-73.9,34
328,40.7,-73.895,28
329,40.7,-73.855,32
330,40.7,-73.83,33
331,40.7,-73.82,26
332,40.7,-73.815,394
333,40.7,-73.81,39
334,40.7,-73.805,41
335,40.705,-74.015,25211
336,40.705,-74.01,36091
337,40.705,-74.005,54775
338,40.705,-74,23621
339,40.705,-73.995,435
340,40.705,-73.99,240
341,40.705,-73.985,30
342,40.705,-73.965,122
343,40.705,-73.96,638
344,40.705,-73.955,1908
345,40.705,-73.95,829
346,40.705,-73.945,324
347,40.705,-73.94,622
348,40.705,-73.935,972
349,40.705,-73.93,396
350,40.705,-73.925,96
351,40.705,-73.92,594
352,40.705,-73.915,36
353,40.705,-73.895,41
354,40.705,-73.83,45
355,40.705,-73.815,261
356,40.705,-73.81,41
357,40.705,-73.805,50
358,40.705,-73.8,60
359,40.705,-73.795,124
360,40.71,-74.035,43
361,40.71,-74.015,33139
362,40.71,-74.01,56953
363,40.71,-74.005,53585
364,40.71,-74,9962
365,40.71,-73.995,9395
366,40.71,-73.99,9242
367,40.71,-73.985,2690
368,40.71,-73.98,1614
369,40.71,-73.975,702
370,40.71,-73.97,87
371,40.71,-73.965,1794
372,40.71,-73.96,4562
373,40.71,-73.955,8496
374,40.71,-73.95,4442
375,40.71,-73.945,2892
376,40.71,-73.94,2355
377,40.71,-73.935,272
378,40.71,-73.93,209
379,40.71,-73.92,31
380,40.71,-73.905,64
381,40.71,-73.9,54
382,40.71,-73.855,60
383,40.71,-73.83,158
384,40.71,-73.825,253
385,40.71,-73.82,159
386,40.71,-73.795,28
387,40.71,-73.79,74
388,40.71,-73.78,27
389,40.71,-73.75,37
390,40.715,-74.045,38
391,40.715,-74.04,65
392,40.715,-74.035,44
393,40.715,-74.03,61
394,40.715,-74.015,15331
395,40.715,-74.01,37512
396,40.715,-74.005,67831
397,40.715,-74,33311
398,40.715,-73.995,37735
399,40.715,-73.99,40956
400,40.715,-73.985,48355
401,40.715,-73.98,2374
402,40.715,-73.975,2104
403,40.715,-73.97,97
404,40.715,-73.965,67
405,40.715,-73.96,3459
406,40.715,-73.955,5685
407,40.715,-73.95,1348
408,40.715,-73.945,746
409,40.715,-73.94,422
410,40.715,-73.935,36
411,40.715,-73.93,27
412,40.715,-73.86,55
413,40.715,-73.84,33
414,40.715,-73.835,168
415,40.715,-73.83,268
416,40.715,-73.825,115
417,40.715,-73.82,54
418,40.715,-73.815,94
419,40.715,-73.81,31
420,40.715,-73.755,387
421,40.72,-74.04,35
422,40.72,-74.035,63
423,40.72,-74.01,12360
424,40.72,-74.005,39606
425,40.72,-74,55153
426,40.72,-73.995,91891
427,40.72,-73.99,60759
428,40.72,-73.985,103462
429,40.72,-73.98,33404
430,40.72,-73.975,9577
431,40.72,-73.97,129
432,40.72,-73.96,176
433,40.72,-73.955,2731
434,40.72,-73.95,1882
435,40.72,-73.945,1289
436,40.72,-73.94,620
437,40.72,-73.935,138
438,40.72,-73.9,42
439,40.72,-73.865,98
440,40.72,-73.85,33
441,40.72,-73.845,303
442,40.72,-73.84,490
443,40.72,-73.835,61
444,40.72,-73.775,38
445,40.72,-73.755,38
446,40.725,-74.04,34
447,40.725,-74.035,90
448,40.725,-74.03,80
449,40.725,-74.01,996
450,40.725,-74.005,43343
451,40.725,-74,85658
452,40.725,-73.995,73154
453,40.725,-73.99,98024
454,40.725,-73.985,90377
455,40.725,-73.98,66303
456,40.725,-73.975,24819
457,40.725,-73.97,828
458,40.725,-73.955,634
459,40.725,-73.95,1418
460,40.725,-73.945,484
461,40.725,-73.94,125
462,40.725,-73.935,38
463,40.725,-73.91,37
464,40.725,-73.905,98
465,40.725,-73.9,66
466,40.725,-73.895,106
467,40.725,-73.89,65
468,40.725,-73.885,54
469,40.725,-73.88,60
470,40.725,-73.875,44
471,40.725,-73.87,90
472,40.725,-73.86,135
473,40.725,-73.855,147
474,40.725,-73.85,494
475,40.725,-73.845,27
476,40.725,-73.835,62
477,40.725,-73.83,32
478,40.73,-74.04,68
479,40.73,-74.035,110
480,40.73,-74.01,664
481,40.73,-74.005,60165
482,40.73,-74,113445
483,40.73,-73.995,70637
484,40.73,-73.99,99902
485,40.73,-73.985,115718
486,40.73,-73.98,78654
487,40.73,-73.975,16443
488,40.73,-73.97,3884
489,40.73,-73.955,402
490,40.73,-73.95,1889
